Location,Address,Country,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions,
,30308, USA,1/22/2019,43.9,29.6,37.2,21.7,,0,,10.9,,62.5,37.63,Partially cloudy,
,30308, USA,1/23/2019,66.7,41.7,52.3,35.7,,1.5,,16,35.6,97.6,70.94,"Rain, Overcast",
,30308, USA,1/24/2019,53.7,34,42.2,27.1,,0.3,,19.8,39.1,63.3,79.91,"Rain, Partially cloudy",
,30308, USA,1/25/2019,45.9,30.1,36.8,23.3,,0,,14.4,,11.9,59.6,Clear,
,30308, USA,1/26/2019,50.3,25.8,36.7,22.9,,0,,10.9,,5.7,62.82,Clear,
,30308, USA,1/27/2019,50.5,29.7,39.1,46.7,,0,,4.6,,23.2,75.25,Clear,
,30308, USA,1/28/2019,57,29.3,43.5,44.4,,0,,13,,44.5,69.01,Partially cloudy,
,30308, USA,1/29/2019,50.3,27.9,40.4,18.3,,0.1,,16.4,29.8,64,64.65,"Rain, Partially cloudy",
,30308, USA,1/30/2019,42.7,22.1,31.5,15.6,,0,,15.1,30.3,14.2,49.17,Clear,
,30308, USA,1/31/2019,51,25.5,36.6,25.7,,0,,8.6,,18.3,54.2,Clear,
,30308, USA,2/1/2019,60.6,29.2,42.9,41.5,,0,,7.6,,14.2,57.17,Clear,
,30308, USA,2/2/2019,64.8,33.2,50.2,31.9,,0,,7.2,,47.9,65.88,Partially cloudy,
,30308, USA,2/3/2019,63.2,46.4,55.1,,,0,,6.9,,71.9,72.56,Partially cloudy,
,30308, USA,2/4/2019,65.1,39.5,52.1,,,0,,6.1,,50.5,83.3,Partially cloudy,
,30308, USA,2/5/2019,71.8,54,61.6,,,0,,5.9,,76.9,83.49,Overcast,
,30308, USA,2/6/2019,69.9,56.3,63,,,0.1,,9.6,,84.3,91.95,"Rain, Overcast",
,30308, USA,2/7/2019,79.1,62.7,69.5,,,0,,15.8,31.1,47.3,72.85,Partially cloudy,
,30308, USA,2/8/2019,67.4,42,53,35.3,,0,,18.5,32.2,52,56.37,Partially cloudy,
,30308, USA,2/9/2019,54,37.3,44.6,31.4,,0,,12.9,31.1,65.8,41.52,Partially cloudy,
,30308, USA,2/10/2019,44.8,36.9,39.9,30.3,,0.1,,13,,81.7,65.46,"Rain, Overcast",
,30308, USA,2/11/2019,55,37,45.2,32.8,,0.1,,5.3,,98,96.39,"Rain, Overcast",
,30308, USA,2/12/2019,68.4,48.8,57.2,42.6,,0.9,,17.4,34.2,79.8,91.88,"Rain, Overcast",
,30308, USA,2/13/2019,54.7,36.3,44.6,31.1,,0,,16.7,33.3,12,49.94,Clear,
,30308, USA,2/14/2019,63.7,32.2,47.9,,,0,,11.3,,28.6,53.03,Partially cloudy,
,30308, USA,2/15/2019,59.5,49.3,54.9,47.1,,0.2,,9.5,,88.4,80.92,"Rain, Overcast",
,30308, USA,2/16/2019,60.4,47.5,55.2,46.1,,0.1,,12.6,,73.5,87.18,"Rain, Partially cloudy",
,30308, USA,2/17/2019,50.1,45.4,47.9,41.9,,0.1,,9.6,,81.8,94.58,"Rain, Overcast",
,30308, USA,2/18/2019,57.8,45.2,49.2,40.8,,0.1,,14.1,,58.3,68.87,"Rain, Partially cloudy",
,30308, USA,2/19/2019,46.8,37.2,41.8,28.6,,1.5,,14.9,33.3,99.3,80.43,"Rain, Overcast",
,30308, USA,2/20/2019,43.9,38.3,41.2,31.7,,0.6,,11.7,34.4,100,96.28,"Rain, Overcast",
,30308, USA,2/21/2019,61.2,42.4,51,37.9,,0.7,,7.1,,88.7,96.07,"Rain, Overcast",
,30308, USA,2/22/2019,58.6,50.7,54.1,,,0,,12.7,,87.6,96.56,Overcast,
,30308, USA,2/23/2019,50.3,46.8,48.7,42.5,,0,,11.9,,98,97.24,Overcast,
,30308, USA,2/24/2019,62.2,46.8,54.8,42.4,,0.3,,23.5,36,39,62.05,"Rain, Partially cloudy",
,30308, USA,2/25/2019,61.2,38.5,49.3,32.6,,0,,11.2,,12.9,34.89,Clear,
,30308, USA,2/26/2019,64.8,41.1,54.2,41.8,,0,,7.4,,65.9,56.83,Partially cloudy,
,30308, USA,2/27/2019,66,53.4,59.1,,,0,,5.1,,79.4,82.52,Overcast,
,30308, USA,2/28/2019,63,53.8,58.1,,,0.4,,7.6,,82.3,94.27,"Rain, Overcast",
,30308, USA,3/1/2019,67.7,59.5,62.4,,,0,,12.1,,96,87.07,Overcast,
,30308, USA,3/2/2019,65.1,50.5,57.9,,,0,,8,,80.7,76.81,Overcast,
,30308, USA,3/3/2019,60.6,43.5,54.9,37.2,,1,,16.8,29.8,91.8,85.61,"Rain, Overcast",
,30308, USA,3/4/2019,42.4,34,37.8,24.6,,0,,18.4,34.4,80.5,68.96,Overcast,
,30308, USA,3/5/2019,43.9,25.9,34.3,13.8,,0,,17.8,32.2,16.5,44.43,Clear,
,30308, USA,3/6/2019,44.8,25.9,34.8,17.2,,0,,14.8,,3,39.24,Clear,
,30308, USA,3/7/2019,58.6,28.3,44,32.9,,0,,7.2,,40.9,39.18,Partially cloudy,
,30308, USA,3/8/2019,67,49.1,55.9,,,0,,9.2,,97.7,46.79,Overcast,
,30308, USA,3/9/2019,70.4,48.4,57.4,45.7,,0,,11.8,,74.5,75.29,Partially cloudy,
,30308, USA,3/10/2019,68.3,54.5,61.8,,,0,,8.6,,85.8,72.34,Overcast,
,30308, USA,3/11/2019,65.5,51.4,56.4,,,0,,8.6,,64.8,73.9,Partially cloudy,
,30308, USA,3/12/2019,72,43.1,57.3,46,,0,,6.5,,18.1,61.47,Clear,
,30308, USA,3/13/2019,68.5,51.2,59.8,,,0,,14.6,,22.6,50.9,Clear,
,30308, USA,3/14/2019,73.8,57.1,64.8,,,0,,17.7,30.3,80.9,73.45,Overcast,
,30308, USA,3/15/2019,70.3,52.9,61.6,,,0.7,,12.9,,76.8,77.75,"Rain, Overcast",
,30308, USA,3/16/2019,52,42,47,36.3,,0,,18.7,,14.7,47.61,Clear,
,30308, USA,3/17/2019,62.7,39.9,50.1,37.6,,0,,11.8,,19.7,39.93,Clear,
,30308, USA,3/18/2019,59.1,39.6,48.9,38.5,,0,,15.6,31.1,13.3,40.88,Clear,
,30308, USA,3/19/2019,58,36.4,46.7,32.7,,0,,14.4,31.1,16.9,38.89,Clear,
,30308, USA,3/20/2019,61.4,34,47.7,30.6,,0,,8.8,,1.8,48.97,Clear,
,30308, USA,3/21/2019,59.3,41.2,51.2,42.3,,0,,19.7,35.6,50.4,54.77,Partially cloudy,
,30308, USA,3/22/2019,64.8,39.5,52.1,34.6,,0,,19.5,33.9,1.5,46.16,Clear,
,30308, USA,3/23/2019,71,39.7,55.8,35.9,,0,,9.3,,10.6,39.26,Clear,
,30308, USA,3/24/2019,73.6,39.8,57.6,,,0,,11.1,,21.4,48.2,Clear,
,30308, USA,3/25/2019,67.1,50.8,58.5,,,0.4,,8.9,29.8,67.9,73.45,"Rain, Partially cloudy",
,30308, USA,3/26/2019,61.8,49.3,54.9,44.8,,0.3,,12,,75.6,79.16,"Rain, Overcast",
,30308, USA,3/27/2019,61.7,46.5,53.4,42.2,,0,,12.7,,31.5,56.34,Partially cloudy,
,30308, USA,3/28/2019,67.7,37.5,52.3,47.8,,0,,6.8,,10.3,49.58,Clear,
,30308, USA,3/29/2019,71.5,43.8,58.1,,,0,,8.9,,23.3,56.49,Clear,
,30308, USA,3/30/2019,75.5,53,63.8,,,0,,14,,39.5,58.59,Partially cloudy,
,30308, USA,3/31/2019,68.9,43,52.1,35.9,,0.1,,17.6,34.4,64.5,62.24,"Rain, Partially cloudy",
,30308, USA,4/1/2019,60.5,33.9,48,31,,0,,11.5,,14.7,41.04,Clear,
,30308, USA,4/2/2019,61.5,45.7,52.4,41.1,,0,,11.8,,52.8,40.78,Partially cloudy,
,30308, USA,4/3/2019,71.5,38,55.5,,,0,,6,,14.1,51.38,Clear,
,30308, USA,4/4/2019,69.2,44.4,58.8,,,0.1,,11.9,,34.5,56.83,"Rain, Partially cloudy",
,30308, USA,4/5/2019,74.5,54.9,63.2,,,0.2,,10.5,,79.7,81.69,"Rain, Overcast",
,30308, USA,4/6/2019,72.5,58,64.1,,,0,,8.3,,80.5,81.75,Overcast,
,30308, USA,4/7/2019,78.9,60.2,68.9,,,0.9,,11.8,,52.3,80.03,"Rain, Partially cloudy",
,30308, USA,4/8/2019,74.1,63.7,68.2,,,0,,12.9,,64,87.24,Partially cloudy,
,30308, USA,4/9/2019,73.9,61.7,66.3,,,0.7,,7.6,32.2,68.4,87.44,"Rain, Partially cloudy",
,30308, USA,4/10/2019,81.4,55,67.9,,80.6,0,,5.5,,8.6,67.65,Clear,
,30308, USA,4/11/2019,81,58.8,70.2,,80,0,,15.3,,26.9,63.7,Partially cloudy,
,30308, USA,4/12/2019,77.3,65,70.9,,,0.1,,13.4,,65.3,73.85,"Rain, Partially cloudy",
,30308, USA,4/13/2019,81,60.3,69.9,,81.1,0,,10.9,,37.5,71.45,Partially cloudy,
,30308, USA,4/14/2019,77.1,57.2,70.1,,,1.3,,22.8,38.1,80.6,78.79,"Rain, Overcast",
,30308, USA,4/15/2019,65.3,44.8,54.7,39.7,,0,,18.8,35.6,29,54.3,Partially cloudy,
,30308, USA,4/16/2019,75,43.9,59.1,43.1,,0,,7.5,,6.4,56.38,Clear,
,30308, USA,4/17/2019,80,49.5,65,,79.7,0,,9.3,,21.5,60.82,Clear,
,30308, USA,4/18/2019,78.5,60.6,69.9,,,0,,14.8,,51.3,65.37,Partially cloudy,
,30308, USA,4/19/2019,71,47.1,61.4,41.5,,3.2,,16.2,40.3,95.1,86.83,"Rain, Overcast",
,30308, USA,4/20/2019,50,43.3,46.6,37.7,,0.1,,13.4,32.2,98,84.53,"Rain, Overcast",
,30308, USA,4/21/2019,70.9,42.2,56.1,40.5,,0,,16.6,29.8,10.4,59.5,Clear,
,30308, USA,4/22/2019,80.2,45.1,62.5,,79.1,0,,7.8,,3.9,57.21,Clear,
,30308, USA,4/23/2019,81.7,51.9,67.7,,80.6,0,,11,,14.8,61.03,Clear,
,30308, USA,4/24/2019,82,59.3,70.6,,80.7,0,,13,,17.6,56.13,Clear,
,30308, USA,4/25/2019,73.8,60.6,66.5,,,0,,12.8,,35.1,74.04,Partially cloudy,
,30308, USA,4/26/2019,72.7,59.1,65.1,,,0,,21.9,38.8,53,62.19,Partially cloudy,
,30308, USA,4/27/2019,77.1,47.4,63.2,45.9,,0,,11.6,,6.1,44.17,Clear,
,30308, USA,4/28/2019,80.3,56.7,68.8,,81,0,,11.4,,35.1,60.43,Partially cloudy,
,30308, USA,4/29/2019,83.6,60,71.9,,83.2,0,,9.7,,24.4,67.73,Clear,
,30308, USA,4/30/2019,84.7,59,72.7,,84.8,0,,8.4,,20.5,65.35,Clear,
,30308, USA,5/1/2019,82.6,64.5,73.5,,84.3,0,,8.6,,41,71.85,Partially cloudy,
,30308, USA,5/2/2019,82.5,63.8,74.1,,81.9,0,,8.5,,18.1,63.31,Clear,
,30308, USA,5/3/2019,82.8,64.6,73.5,,84.1,0,,9.2,,42.8,72.53,Partially cloudy,
,30308, USA,5/4/2019,80.3,66.8,72.9,,82.6,0.3,,14.9,,51.3,80.76,"Rain, Partially cloudy",
,30308, USA,5/5/2019,78.7,65.1,69.8,,,0,,13.6,,77.1,79.36,Overcast,
,30308, USA,5/6/2019,80.3,56.8,68.6,,80.3,0,,7,,35,68.97,Partially cloudy,
,30308, USA,5/7/2019,81.4,58.7,71.5,,82.3,0,,7.9,,24.2,68.49,Clear,
,30308, USA,5/8/2019,84.1,63.1,73.2,,84.4,0,,11.7,,35.8,71.57,Partially cloudy,
,30308, USA,5/9/2019,79.5,65.6,70.9,,,0.5,,13.5,32.9,58.1,74.95,"Rain, Partially cloudy",
,30308, USA,5/10/2019,82.8,63.5,72.3,,83.9,0,,9.6,,65.4,76.97,Partially cloudy,
,30308, USA,5/11/2019,79.8,67.3,72.6,,,0.5,,8.6,,74.6,83.39,"Rain, Partially cloudy",
,30308, USA,5/12/2019,72.7,65.6,68.2,,,1,,10.2,,81.8,89.42,"Rain, Overcast",
,30308, USA,5/13/2019,72.7,60.2,66.6,,,0,,14.5,,45.9,65.46,Partially cloudy,
,30308, USA,5/14/2019,71.2,50.3,61.1,,,0,,11.4,,2.7,60.04,Clear,
,30308, USA,5/15/2019,74.8,49.6,63.2,,,0,,7.5,,25,61.19,Clear,
,30308, USA,5/16/2019,85,60.5,72.1,,84.4,0,,8.6,,50.3,64.12,Partially cloudy,
,30308, USA,5/17/2019,86.5,63.6,74.8,,86.7,0,,8.8,,25.6,68.49,Partially cloudy,
,30308, USA,5/18/2019,86.8,64.1,75.8,,87.5,0,,8.3,,15.5,67.24,Clear,
,30308, USA,5/19/2019,86.8,64.6,76.2,,86.1,0,,13.1,,22.4,62.57,Clear,
,30308, USA,5/20/2019,85.4,67.4,76,,85.1,0,,11.6,,50.7,63.74,Partially cloudy,
,30308, USA,5/21/2019,88.1,62.3,76.4,,87.7,0,,7.9,,17.8,63.12,Clear,
,30308, USA,5/22/2019,91.1,68.2,80.4,,90.7,0,,10.2,,27,56.85,Partially cloudy,
,30308, USA,5/23/2019,88.4,70.5,79.7,,90.8,0,,8.1,,30.3,65.14,Partially cloudy,
,30308, USA,5/24/2019,91.7,68.3,80.8,,93.2,0,,8,,17.1,62.97,Clear,
,30308, USA,5/25/2019,92,70.7,81.7,,94,0,,9.7,,11.7,61.8,Clear,
,30308, USA,5/26/2019,93.3,68.8,82.1,,93.3,0,,10.4,,6.9,57.67,Clear,
,30308, USA,5/27/2019,92.6,68.5,81.5,,92.8,0,,9.9,,22.2,58.09,Clear,
,30308, USA,5/28/2019,92.8,70.5,82.5,,90.8,0,,11.7,,9.9,55.97,Clear,
,30308, USA,5/29/2019,93.1,67.3,81.7,,92,0,,11.8,,7.5,54.1,Clear,
,30308, USA,5/30/2019,89.9,72.2,81.1,,90,0,,14,,29.5,56.23,Partially cloudy,
,30308, USA,5/31/2019,87.4,71.2,78.9,,86,0,,15.9,,40.9,54.58,Partially cloudy,
,30308, USA,6/1/2019,87.8,62.4,76.3,,85.8,0,,10.9,,21.7,51.73,Clear,
,30308, USA,6/2/2019,88.3,64.6,75.5,,87.7,0.1,,15.4,33.2,31.6,61.32,"Rain, Partially cloudy",
,30308, USA,6/3/2019,88,66.1,76.8,,86.3,0,,11.3,,12.8,62.02,Clear,
,30308, USA,6/4/2019,82.5,68.5,74,,82.8,0,,9.9,,27.2,57.35,Partially cloudy,
,30308, USA,6/5/2019,83.2,67.7,75,,86.4,0,,7.6,,41.3,76.19,Partially cloudy,
,30308, USA,6/6/2019,75.5,71,73.8,,,0,,7.5,,93.9,79.57,Overcast,
,30308, USA,6/7/2019,87.9,69.6,74.3,,92.2,0.7,,14.4,44.7,77.8,84.72,"Rain, Overcast",
,30308, USA,6/8/2019,71.4,68.5,70.2,,,2.6,,8,29.8,96.6,93.5,"Rain, Overcast",
,30308, USA,6/9/2019,80,69.7,73.6,,82.9,0,,8.6,,95.6,85.84,Overcast,
,30308, USA,6/10/2019,81.8,71.8,75.9,,85.9,0.1,,8.8,,82.1,83.37,"Rain, Overcast",
,30308, USA,6/11/2019,85.1,65.5,75.1,,87,0.1,,10.5,,44.3,69.73,"Rain, Partially cloudy",
,30308, USA,6/12/2019,73,66.4,69.4,,,0.7,,11.3,,99,77.19,"Rain, Overcast",
,30308, USA,6/13/2019,79,65,71,,,0,,15.4,,47.3,64.09,Partially cloudy,
,30308, USA,6/14/2019,80.3,56.2,69,,79.3,0,,6.7,,10.4,53.05,Clear,
,30308, USA,6/15/2019,84.3,59.9,73,,84.8,0,,9.1,,27.4,63.01,Partially cloudy,
,30308, USA,6/16/2019,88.1,65.7,78,,90.2,0,,9.3,,25.5,66.76,Partially cloudy,
,30308, USA,6/17/2019,89.3,69,79,,92,0.1,,9.1,,31.1,70.38,"Rain, Partially cloudy",
,30308, USA,6/18/2019,81.8,71.5,75.5,,85.8,0.1,,8.9,,62,85.47,"Rain, Partially cloudy",
,30308, USA,6/19/2019,86.3,70.6,77.5,,90.8,0,,12.1,34.4,67.4,77.96,Partially cloudy,
,30308, USA,6/20/2019,85.7,73.1,78.1,,88.6,0.2,,15,31.1,33.4,73.72,"Rain, Partially cloudy",
,30308, USA,6/21/2019,90,70.1,80.1,,93.7,0,,11.6,,19.4,66.62,Clear,
,30308, USA,6/22/2019,89.5,69.6,78.8,,95.9,0.1,,19.4,39.1,33,71.12,"Rain, Partially cloudy",
,30308, USA,6/23/2019,87.7,67.9,76,,93.5,0.4,,15,41.7,34.9,76.64,"Rain, Partially cloudy",
,30308, USA,6/24/2019,88.1,70.2,77.1,,94.5,0.2,,20.9,44.8,46.6,80.27,"Rain, Partially cloudy",
,30308, USA,6/25/2019,85.6,68.8,76.8,,87.4,0,,9.9,,27,73.03,Partially cloudy,
,30308, USA,6/26/2019,85.6,68.5,76.8,,87.7,0,,6.1,,20.3,72.44,Clear,
,30308, USA,6/27/2019,87.2,71.5,78.6,,89.4,0,,9.1,,21.7,70.98,Clear,
,30308, USA,6/28/2019,87.9,69.6,79.1,,89.4,0,,9.9,,20.3,63.66,Clear,
,30308, USA,6/29/2019,85,69.7,77.8,,87.5,0,,7.2,,34.7,72.53,Partially cloudy,
,30308, USA,6/30/2019,90,71.1,80.7,,92.2,0,,8.3,,24.8,69.23,Clear,
,30308, USA,7/1/2019,91.1,72.9,83,,95.3,0,,11.6,,16.7,63.3,Clear,
,30308, USA,7/2/2019,93.8,73.8,84.8,,97.2,0,,9.9,,13.9,60.53,Clear,
,30308, USA,7/3/2019,90.7,76.3,83.7,,93.3,0,,8,,26.5,62.41,Partially cloudy,
,30308, USA,7/4/2019,93.4,75.1,84,,95.9,0,,9,,39.8,62.26,Partially cloudy,
,30308, USA,7/5/2019,90.8,73.9,80.7,,97.1,0.3,,8.4,,39.1,74.02,"Rain, Partially cloudy",
,30308, USA,7/6/2019,92,72,81.2,,98.1,0,,7.2,,36.7,73.12,Partially cloudy,
,30308, USA,7/7/2019,86.7,73.6,80.7,,92.5,0.2,,7.7,,39.3,74.01,"Rain, Partially cloudy",
,30308, USA,7/8/2019,88.9,73.7,80.8,,95,0,,13,33.3,36.1,74.52,Partially cloudy,
,30308, USA,7/9/2019,90.2,74.5,82.7,,99.4,0,,10.4,,37.8,72.67,Partially cloudy,
,30308, USA,7/10/2019,90.7,75.7,82.3,,96.8,0.2,,8.6,,54.9,71.86,"Rain, Partially cloudy",
,30308, USA,7/11/2019,88.9,74.1,81.1,,95.5,0,,8.1,,49.9,76.41,Partially cloudy,
,30308, USA,7/12/2019,90.7,74.8,81.7,,95.3,0.2,,10.2,32.2,58.7,72.05,"Rain, Partially cloudy",
,30308, USA,7/13/2019,87.7,74.1,79.1,,93.4,0.1,,12.8,34.4,47,76.32,"Rain, Partially cloudy",
,30308, USA,7/14/2019,89.2,72.6,80.3,,92.4,0,,13.6,29.8,34.2,69.82,Partially cloudy,
,30308, USA,7/15/2019,91.6,71.2,82.6,,94,0,,8.7,,26.2,61.55,Partially cloudy,
,30308, USA,7/16/2019,92.9,73.6,83.7,,95.5,0,,12.9,,17.3,62.65,Clear,
,30308, USA,7/17/2019,92.3,74.5,80.7,,96.7,0.1,,13,35.8,28.4,71.37,"Rain, Partially cloudy",
,30308, USA,7/18/2019,89.9,73.3,79.1,,96,0,,13.2,32.7,26.4,77.8,Partially cloudy,
,30308, USA,7/19/2019,87.1,74.7,78.2,,95.1,0.3,,14.5,31.1,44.8,83.63,"Rain, Partially cloudy",
,30308, USA,7/20/2019,89.3,71.9,77.9,,94.7,0.3,,10,,71.6,81,"Rain, Partially cloudy",
,30308, USA,7/21/2019,88.5,71.5,78.9,,91.2,0,,7.9,,53.8,74.54,Partially cloudy,
,30308, USA,7/22/2019,90,72.7,81.2,,93.1,0,,13,,32.1,67.97,Partially cloudy,
,30308, USA,7/23/2019,82.5,73.5,77.4,,85.4,0.1,,16.7,29.8,74.5,74.91,"Rain, Partially cloudy",
,30308, USA,7/24/2019,84.8,65.8,75.6,,83.4,0,,9.9,,31.8,60.82,Partially cloudy,
,30308, USA,7/25/2019,86.1,63.9,74.9,,84.3,0,,8.2,,24.1,56.01,Clear,
,30308, USA,7/26/2019,87.7,65.5,76.6,,86.1,0,,5.8,,28.3,56.34,Partially cloudy,
,30308, USA,7/27/2019,88.2,66.2,77.7,,87.7,0,,7.6,,23.1,59.04,Clear,
,30308, USA,7/28/2019,88.6,66.8,77.8,,88.3,0,,6.7,,48.6,61.76,Partially cloudy,
,30308, USA,7/29/2019,88.9,71.2,78.6,,89.1,0.3,,10.9,,38.1,64.67,"Rain, Partially cloudy",
,30308, USA,7/30/2019,89.7,68.3,77.1,,90.7,0.4,,14.4,32.2,45.3,71.39,"Rain, Partially cloudy",
,30308, USA,7/31/2019,89.5,71.2,78.6,,91.3,0,,6.7,,60.2,72.42,Partially cloudy,
,30308, USA,8/1/2019,91.9,69.5,78,,94.1,0.5,,8.8,33.3,36.4,71.59,"Rain, Partially cloudy",
,30308, USA,8/2/2019,86.4,69,75.4,,89.4,0.9,,8.8,,57.2,79.71,"Rain, Partially cloudy",
,30308, USA,8/3/2019,87.9,70.3,77.9,,90.6,0,,6.2,,47.3,74.35,Partially cloudy,
,30308, USA,8/4/2019,85.6,71.9,77.6,,88,0.1,,7,,56.3,75.09,"Rain, Partially cloudy",
,30308, USA,8/5/2019,89.5,72.1,78.6,,92,0,,10.1,,55.6,74.28,Partially cloudy,
,30308, USA,8/6/2019,90.2,71,79.5,,92.1,0,,8.8,,34.9,70.16,Partially cloudy,
,30308, USA,8/7/2019,92.1,73,82,,96.8,0,,11.2,,32.8,65.76,Partially cloudy,
,30308, USA,8/8/2019,91.1,73.6,82.4,,94.6,0,,12.3,,25.2,62.25,Partially cloudy,
,30308, USA,8/9/2019,92.8,73.5,82.8,,96.1,0,,11.9,,17.5,65.65,Clear,
,30308, USA,8/10/2019,92.8,76,83.2,,98.7,0,,9.4,,34.1,69.53,Partially cloudy,
,30308, USA,8/11/2019,93.2,74.8,83.9,,99.7,0,,8.5,,29.8,70.13,Partially cloudy,
,30308, USA,8/12/2019,93.3,76,84.8,,101,0,,6,,25.3,67.46,Partially cloudy,
,30308, USA,8/13/2019,97.6,77.7,86.8,,105,0,,7.9,,18.3,65.57,Clear,
,30308, USA,8/14/2019,91.9,74.6,81,,98.9,0.3,,12.6,37.3,37.2,75.2,"Rain, Partially cloudy",
,30308, USA,8/15/2019,92.3,72.4,81.7,,94.4,0,,11.7,,17.3,64.86,Clear,
,30308, USA,8/16/2019,92.4,68,80.8,,92.7,0,,9.2,,4.5,57.43,Clear,
,30308, USA,8/17/2019,95.7,68.2,82.3,,95.4,0,,8.2,,4.9,57.5,Clear,
,30308, USA,8/18/2019,94.3,73.2,82.6,,96.8,0,,9.3,53.9,26.5,63.35,Partially cloudy,
,30308, USA,8/19/2019,91.9,72.8,80.8,,97.6,0,,8.6,34.4,23,70.98,Clear,
,30308, USA,8/20/2019,92.2,71.5,80.7,,95.2,0,,11.1,,46.7,67.85,Partially cloudy,
,30308, USA,8/21/2019,92.6,71.5,81.5,,96.1,0,,9,,27,67.34,Partially cloudy,
,30308, USA,8/22/2019,92.6,73.6,83.2,,95,0,,9.5,,22,61.43,Clear,
,30308, USA,8/23/2019,91.6,75.2,81.8,,95,0,,9.2,,44.9,67.86,Partially cloudy,
,30308, USA,8/24/2019,92.3,72.8,79.9,,95.4,0,,10.4,32.2,43,74.63,Partially cloudy,
,30308, USA,8/25/2019,76.3,66.3,71.4,,,0,,16,,99.8,77.22,Overcast,
,30308, USA,8/26/2019,78.6,68.3,71.9,,,0.3,,10.9,,98.1,80.88,"Rain, Overcast",
,30308, USA,8/27/2019,81.1,71.2,75.1,,85.4,0.4,,8.7,,84,87.41,"Rain, Overcast",
,30308, USA,8/28/2019,89.5,70.2,78.3,,91,0,,13,,45.9,69.98,Partially cloudy,
,30308, USA,8/29/2019,87.9,63.8,75.9,,85.1,0,,8.7,,1.5,55.1,Clear,
,30308, USA,8/30/2019,88.5,62.1,75.5,,87.1,0,,8.4,,3.9,58.35,Clear,
,30308, USA,8/31/2019,89,66,77.5,,89.6,0,,9.8,,31.2,61.51,Partially cloudy,
,30308, USA,9/1/2019,86.9,70,78.6,,89.5,0,,10.3,,42.5,66.81,Partially cloudy,
,30308, USA,9/2/2019,91.7,68.5,79.9,,92.3,0,,10.9,,11.3,60.42,Clear,
,30308, USA,9/3/2019,92.6,69.5,80.8,,92.8,0,,8.5,,16.2,60.48,Clear,
,30308, USA,9/4/2019,95.8,70.5,82.9,,97,0,,12.8,29.8,7.4,58.05,Clear,
,30308, USA,9/5/2019,93.2,74.8,82.8,,93,0,,15.7,29.8,14.1,53.07,Clear,
,30308, USA,9/6/2019,93.1,67.4,79.6,,89.2,0,,14,,0,51.25,Clear,
,30308, USA,9/7/2019,94.6,68.8,81.8,,97.6,0,,12,,13.3,57.75,Clear,
,30308, USA,9/8/2019,94.9,65.5,80.6,,93.6,0,,7.7,,6.1,51.74,Clear,
